,test_data_pct,learning_rate,bert_type,epochs,batch_size,max_len,device,data_file,timestamp,training duration,initial train,initial test,final train,final test,Epoch 1 Train,Epoch 1 Test,Epoch 2 Train,Epoch 2 Test,Epoch 3 Train,Epoch 3 Test,Epoch 4 Train,Epoch 4 Test,Epoch 5 Train,Epoch 5 Test,Epoch 6 Train,Epoch 6 Test,Epoch 7 Train,Epoch 7 Test,Epoch 8 Train,Epoch 8 Test,Epoch 9 Train,Epoch 9 Test,Epoch 10 Train,Epoch 10 Test,Epoch 11 Train,Epoch 11 Test,Epoch 12 Train,Epoch 12 Test,Epoch 13 Train,Epoch 13 Test,Epoch 14 Train,Epoch 14 Test,Epoch 15 Train,Epoch 15 Test,initial train precision,initial train recall,initial train f1-score,initial train support,initial train accuracy,initial train perplexity,initial test precision,initial test recall,initial test f1-score,initial test support,initial test accuracy,initial test perplexity,Epoch 0 precision,Epoch 0 recall,Epoch 0 f1-score,Epoch 0 support,Epoch 0 accuracy,Epoch 0 perplexity,Epoch 1 precision,Epoch 1 recall,Epoch 1 f1-score,Epoch 1 support,Epoch 1 accuracy,Epoch 1 perplexity,Epoch 2 precision,Epoch 2 recall,Epoch 2 f1-score,Epoch 2 support,Epoch 2 accuracy,Epoch 2 perplexity,Epoch 3 precision,Epoch 3 recall,Epoch 3 f1-score,Epoch 3 support,Epoch 3 accuracy,Epoch 3 perplexity,Epoch 4 precision,Epoch 4 recall,Epoch 4 f1-score,Epoch 4 support,Epoch 4 accuracy,Epoch 4 perplexity,Epoch 5 precision,Epoch 5 recall,Epoch 5 f1-score,Epoch 5 support,Epoch 5 accuracy,Epoch 5 perplexity,Epoch 6 precision,Epoch 6 recall,Epoch 6 f1-score,Epoch 6 support,Epoch 6 accuracy,Epoch 6 perplexity,Epoch 7 precision,Epoch 7 recall,Epoch 7 f1-score,Epoch 7 support,Epoch 7 accuracy,Epoch 7 perplexity,Epoch 8 precision,Epoch 8 recall,Epoch 8 f1-score,Epoch 8 support,Epoch 8 accuracy,Epoch 8 perplexity,initial train train  precision,initial train train  recall,initial train train  f1-score,initial train train  support,initial train train  accuracy,initial train train  perplexity,initial test test  precision,initial test test  recall,initial test test  f1-score,initial test test  support,initial test test  accuracy,initial test test  perplexity,Epoch 0 train  precision,Epoch 0 train  recall,Epoch 0 train  f1-score,Epoch 0 train  support,Epoch 0 train  accuracy,Epoch 0 train  perplexity,Epoch 1 train  precision,Epoch 1 train  recall,Epoch 1 train  f1-score,Epoch 1 train  support,Epoch 1 train  accuracy,Epoch 1 train  perplexity,Epoch 2 train  precision,Epoch 2 train  recall,Epoch 2 train  f1-score,Epoch 2 train  support,Epoch 2 train  accuracy,Epoch 2 train  perplexity,Epoch 3 train  precision,Epoch 3 train  recall,Epoch 3 train  f1-score,Epoch 3 train  support,Epoch 3 train  accuracy,Epoch 3 train  perplexity,Epoch 4 train  precision,Epoch 4 train  recall,Epoch 4 train  f1-score,Epoch 4 train  support,Epoch 4 train  accuracy,Epoch 4 train  perplexity,Epoch 5 train  precision,Epoch 5 train  recall,Epoch 5 train  f1-score,Epoch 5 train  support,Epoch 5 train  accuracy,Epoch 5 train  perplexity,Epoch 6 train  precision,Epoch 6 train  recall,Epoch 6 train  f1-score,Epoch 6 train  support,Epoch 6 train  accuracy,Epoch 6 train  perplexity,Epoch 7 train  precision,Epoch 7 train  recall,Epoch 7 train  f1-score,Epoch 7 train  support,Epoch 7 train  accuracy,Epoch 7 train  perplexity,Epoch 8 train  precision,Epoch 8 train  recall,Epoch 8 train  f1-score,Epoch 8 train  support,Epoch 8 train  accuracy,Epoch 8 train  perplexity
10,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1689308412_7489612,1:23,,,,0.9996166825294495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690066039_8666599,6:27,0.4611666798591614,0.4574333429336548,,,0.9854333400726318,0.9669583439826964,0.9933500289916992,0.9631041884422302,0.9971500039100648,0.9643250107765198,0.9645000100135804,0.9211916923522948,0.9989833235740662,0.9645333290100098,0.9987166523933412,0.9618417024612428,0.9996333718299866,0.9636083245277404,0.9997166991233826,0.9631167054176332,0.9997000098228456,0.9618291854858398,0.999750018119812,0.9612125158309937,0.9998999834060668,0.9642333388328552,0.9999833703041076,0.9650333523750304,0.998283326625824,0.95270836353302,0.9993000030517578,0.9605916738510132,0.9991333484649658,0.9573041796684264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690089804_957002,6:16,0.4907666742801666,0.49199584126472473,,,0.9803833365440368,0.9605374932289124,0.9965833425521852,0.9687166810035706,0.9955999851226808,0.9605958461761476,0.9953666925430298,0.9585124850273132,0.9985499978065492,0.9626041650772096,0.999750018119812,0.9661625027656556,0.9988499879837036,0.964079201221466,0.9996500015258788,0.9650791883468628,0.9992166757583618,0.9629124999046326,0.999833345413208,0.963575005531311,0.999666690826416,0.9613916873931884,0.99958336353302,0.9602916836738586,0.998283326625824,0.9509583711624146,0.9998833537101746,0.9597750306129456,0.9958500266075134,0.9423333406448364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.8,0.0001,tinybert,9,64,150,dereks_desktop,shuffled_data.csv,1690190169_0716786,4:1,0.4845833480358124,0.47967085242271423,,,0.9755499958992004,0.9511208534240724,0.987233340740204,0.9445958733558656,0.9974333643913268,0.949958324432373,0.9965500235557556,0.9434083700180054,0.9983167052268982,0.9478208422660828,0.9992499947547911,0.9474416971206664,0.9980666637420654,0.9409416913986206,0.9995999932289124,0.9469749927520752,0.9992833733558656,0.9449583292007446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690217490_8191316,7:4,0.5041333436965942,0.5005541443824768,,,0.9825167059898376,0.9649125337600708,0.990916669368744,0.963158369064331,0.9983500242233276,0.9693250060081482,0.996483325958252,0.9634875059127808,0.9993833303451538,0.9674291610717772,0.9984500408172609,0.962487518787384,0.9993833303451538,0.965429186820984,0.9991500377655028,0.9621917009353638,0.9993000030517578,0.9649041891098022,0.9997000098228456,0.9668458700180054,0.9995333552360536,0.963349997997284,0.9998166561126708,0.9657458662986756,0.9999333620071412,0.9658750295639038,0.9996333718299866,0.9630708694458008,0.9998666644096376,0.9634374976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690243580_9541676,6:52,0.4935333430767059,0.49440833926200867,,,0.982366681098938,0.9644374847412108,0.9951000213623048,0.9668124914169312,0.9983500242233276,0.9657541513442992,0.9970833659172058,0.9608583450317384,0.9993833303451538,0.9642125368118286,0.9994166493415833,0.9637333154678344,0.9991833567619324,0.9615125060081482,0.9997000098228456,0.9662083387374878,0.9997833371162416,0.966279149055481,0.9997333288192748,0.9652291536331176,0.9996166825294496,0.9645166993141174,0.9993166923522948,0.9633458256721495,0.999833345413208,0.9649041891098022,0.9994833469390868,0.961791694164276,1.0,0.9646999835968018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.8,0.001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690283803_5932848,6:0,0.4948833286762237,0.4940375089645386,,,0.9786500334739684,0.9536874890327454,0.9851500391960144,0.9473125338554382,0.994450032711029,0.9522500038146972,0.9816499948501588,0.930916666984558,0.9749333262443542,0.9221833348274232,0.9881666898727416,0.9346041679382324,0.9541833400726318,0.8958874940872192,0.9594500064849854,0.8968499898910522,0.9497166872024536,0.8936625123023987,0.8670666813850403,0.8372583389282227,0.911483347415924,0.859416663646698,0.961216688156128,0.8865958452224731,0.9909000396728516,0.919991672039032,0.9952499866485596,0.9279125332832336,0.9961667060852052,0.928849995136261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.8,1e-05,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690308258_9065537,6:28,0.5332000255584717,0.5319874882698059,,,0.9175000190734864,0.9118791818618774,0.94760000705719,0.9372791647911072,0.963450014591217,0.9484041929244996,0.973900020122528,0.9548125267028807,0.9815000295639038,0.9587708711624146,0.9885166883468628,0.9615833163261414,0.9908833503723145,0.9618541598320008,0.985100030899048,0.9545875191688538,0.9939000010490416,0.9615291953086852,0.9975666999816896,0.9646291732788086,0.9983500242233276,0.9651666879653932,0.9989333152770996,0.9654625058174132,0.9987833499908448,0.9629208445549012,0.9993333220481871,0.9641708731651306,0.9995499849319458,0.9644625186920166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.8,0.001,tinybert,9,128,150,dereks_desktop,shuffled_data.csv,1690324038_921073,4:1,0.4345999956130981,0.4352041780948639,,,0.966866672039032,0.9311833381652832,0.9831500053405762,0.931808352470398,0.973983347415924,0.916966676712036,0.994100034236908,0.9369958639144896,0.9908000230789183,0.928683340549469,0.989650011062622,0.920395851135254,0.9723333716392516,0.8958625197410583,0.9781500101089478,0.9083166718482972,0.9925833344459534,0.9234125018119812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.8,0.0001,tinybert,9,128,150,dereks_desktop,shuffled_data.csv,1690339839_4192848,4:1,0.491266667842865,0.4950000047683716,,,0.9675500392913818,0.9444833397865297,0.9730166792869568,0.9338124990463256,0.9960166811943054,0.948591649532318,0.9971166849136353,0.9465333223342896,0.988866686820984,0.9279749989509584,0.9983167052268982,0.9437249898910522,0.9997333288192748,0.9488916993141174,0.9990666508674622,0.9435208439826964,0.9997333288192748,0.948620855808258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
